survey_name,unit_position,unit_session_id,session,type,item_name,label,optional,showif,created,saved,shown,shown_relative,answer,answered,answered_relative,displaycount,display_order,hidden
Inference_Task,10,19809127,1IUxv5Ynj1mozQtKZ1LH4wrv4PlYLv0bA7deAPo4wDqWsHtrnUf3cjgni7Bjq05w,note,consent,"You are being invited to participate in a research study about human reasoning. This study is being conducted by Alan Jern, Ph.D., from the Department of Humanities, Social Sciences, and the Arts at Rose-Hulman Institute of Technology. There are no known risks or costs if you decide to participate in thisresearch study. In this study, you will be asked to answer a few questions or make some judgments. There are no right or wrong answers. We are only interested in whether people tend to give similar answers. The information collected may not benefit you directly, but the information learned in this study could help usto better understand how people think and reason. The data from this study will be shared publicly, but your responses will be anonymized so that they cannot be linked to your identity. Your participation in this study is voluntary and you may leave at any time. By completing the survey, you are voluntarily agreeing to participate. If you have any questions about the study, please contact Alan Jern at jern@rose-hulman.edu. If you have any questions about your rights as a research subject or if you feel you've been placed at risk, you may contact the Institutional Reviewer, Daniel Morris, by phone at (812) 877-8314, or by e-mail at morris@rose-hulman.edu.",1,,2022-02-04 19:23:58,2022-02-04 19:24:01,2022-02-04 18:25:03,979.79999995232,1,2022-02-04 18:25:03,,1.0,2,0.0
Inference_Task,10,19809127,1IUxv5Ynj1mozQtKZ1LH4wrv4PlYLv0bA7deAPo4wDqWsHtrnUf3cjgni7Bjq05w,submit,consent_submit,Acknowledge Consent & Proceed,0,,2022-02-04 19:23:58,,,,,,,1.0,3,1.0
Inference_Task,10,19809127,1IUxv5Ynj1mozQtKZ1LH4wrv4PlYLv0bA7deAPo4wDqWsHtrnUf3cjgni7Bjq05w,note,instructions_1,## Instructions,1,,2022-02-04 19:23:58,2022-02-04 19:24:12,2022-02-04 18:25:06,493.09999990463,1,2022-02-04 18:25:06,,1.0,4,0.0
Inference_Task,10,19809127,1IUxv5Ynj1mozQtKZ1LH4wrv4PlYLv0bA7deAPo4wDqWsHtrnUf3cjgni7Bjq05w,note,instructions_2,"On each page of this study, you will learn about something a person has done previously. Your task is to rate how likely you think it is that the same person will do different things in the future, given what you know about their past behavior.",1,,2022-02-04 19:23:58,2022-02-04 19:24:12,2022-02-04 18:25:06,493.09999990463,1,2022-02-04 18:25:06,,1.0,5,0.0
Inference_Task,10,19809127,1IUxv5Ynj1mozQtKZ1LH4wrv4PlYLv0bA7deAPo4wDqWsHtrnUf3cjgni7Bjq05w,note,instructions_3,There are no right or wrong answers. We only want to know whether people give similar answers.,1,,2022-02-04 19:23:58,2022-02-04 19:24:12,2022-02-04 18:25:06,493.09999990463,1,2022-02-04 18:25:06,,1.0,6,0.0
Inference_Task,10,19809127,1IUxv5Ynj1mozQtKZ1LH4wrv4PlYLv0bA7deAPo4wDqWsHtrnUf3cjgni7Bjq05w,submit,instructions_submit,Continue to Experiment,0,,2022-02-04 19:23:58,,,,,,,1.0,7,1.0
Inference_Task,10,19809127,1IUxv5Ynj1mozQtKZ1LH4wrv4PlYLv0bA7deAPo4wDqWsHtrnUf3cjgni7Bjq05w,random,condition,,0,,2022-02-04 19:23:58,2022-02-04 19:24:12,2022-02-04 19:24:12,,4,2022-02-04 19:24:12,,1.0,8,0.0
Inference_Task,10,19809127,1IUxv5Ynj1mozQtKZ1LH4wrv4PlYLv0bA7deAPo4wDqWsHtrnUf3cjgni7Bjq05w,note,feedback_instructions,"Thank you for your participation in this experiment! If there is anything you found confusing about the experiment, please make a note about it below. This section is optional.",1,,2022-02-04 19:23:58,,,,,,,,459,
Inference_Task,10,19809127,1IUxv5Ynj1mozQtKZ1LH4wrv4PlYLv0bA7deAPo4wDqWsHtrnUf3cjgni7Bjq05w,text,feedback_text,,1,,2022-02-04 19:23:58,,,,,,,,460,
Inference_Task,10,19809127,1IUxv5Ynj1mozQtKZ1LH4wrv4PlYLv0bA7deAPo4wDqWsHtrnUf3cjgni7Bjq05w,submit,survey_submit,Submit Responses,0,,2022-02-04 19:23:58,,,,,,,,461,
Inference_Task,10,19809127,1IUxv5Ynj1mozQtKZ1LH4wrv4PlYLv0bA7deAPo4wDqWsHtrnUf3cjgni7Bjq05w,get,code,,0,,2022-02-04 19:23:58,2022-02-04 19:23:59,2022-02-04 19:23:59,,60b680db7c79830231e7d570,2022-02-04 19:23:59,,1.0,0,0.0
Inference_Task,10,19809127,1IUxv5Ynj1mozQtKZ1LH4wrv4PlYLv0bA7deAPo4wDqWsHtrnUf3cjgni7Bjq05w,block,block,You have to come here through Prolific.,0,"is.na(code) || code == """"",2022-02-04 19:23:58,,,,,,,,1,1.0
